"CODETYPE","SOURCEVALUE","TARGETVALUE","DESCRIPTION","NUMCODE","RANK","NUMERIC1"
0,"0","0","Codetype Catolog",0,0,0
0,"3807","3807","PCMSOASYSR COURTTYPE",0,0,0
0,"5500","5500","OASYSRCMS CRIM NEED",0,0,0
0,"5501","5501","OASYSRCMS OBJ STATUS CODE",0,0,0
0,"5506","5506","OASYSRCMS INTERVENTION",0,0,0
0,"5504","5504","OASYSRPCMS LAYER1OBJ",0,0,0
0,"5507","5507","OASYSRPCMS COURTTYPE",0,0,0
0,"14","14","STATUS CODES",0,0,0
0,"2005","2005","OASYSR ESTABLISHMENT CODES",0,0,0
0,"2016","2016","OASYSR DISCHARGE CODES",0,0,0
0,"2015","2015","OASYSR RECEPTION CODES",0,0,0
0,"3802","3802","PCMSOASYSR SENTENCE",0,0,0
0,"34","34","RELEASE NAME",0,0,0
0,"3806","3806","PCMSOASYSR LANGUAGE",0,0,0
0,"3803","3803","PCMSOASYSR LICENCEMAINCATEGORY",0,0,0
0,"3804","3804","PCMSOASYSR LICENCESUBCATEGORY",0,0,0
3806,"91","tib","Tibetan",0,0,0
3806,"92","oth","Other",0,0,0
3806,"93","tur","Turkish",0,0,0
3806,"94","twi","Twi",0,0,0
3806,"95","ukr","Ukrainian",0,0,0
3806,"96","urd","Urdu",0,0,0
3806,"97","vie","Vietnamese",0,0,0
3806,"98","wol","Wolof",0,0,0
3806,"99","yor","Yoruba",0,0,0
3803,"-1","-1","Unknown Main Category",0,0,0
3803,"1","1","Residency",0,0,0
3803,"10","10","Supervision",0,0,0
3803,"101","101","Residence at a specific place",0,0,0
3803,"102","102","Restriction of residency.",0,0,0
3803,"103","103","Making or maintaining contact with a person",0,0,0
3803,"104","104","Participate or co-op with Programme or Activities",0,0,0
3803,"105","105","Poss, own, control, inspect specified items /docs",0,0,0
3803,"106","106","Disclosure of information",0,0,0
3803,"107","107","Curfew Arrangement",0,0,0
3803,"108","108","Freedom of movement ",0,0,0
3803,"109","109","Supervision in the community",0,0,0
3803,"11","11","Exclusion",0,0,0
3803,"110","110","Alcohol",0,0,0
3803,"111","111","Polygraph Condition",0,0,0
3803,"112","112","Drug Testing Condition",0,0,0
3803,"12","12","Migrated Data",0,0,0
3803,"2","2","Accredited Programme",0,0,0
3803,"3","3","Contact",0,0,0
3803,"4","4","Prohibited Residency",0,0,0
3803,"5","5","Prohibited Contact",0,0,0
3803,"6","6","Non-Association",0,0,0
3803,"7","7","Drug Testing",0,0,0
3803,"8","8","Curfew",0,0,0
3803,"9","9","Prohibited Activity",0,0,0
5500,"I10","430","EMOTIONAL WELLBEING",0,0,0
5500,"I10A","440","Difficulties coping",0,0,0
5500,"I10B","450","Psychological problems",0,0,0
5500,"I10C","460","Social isolation",0,0,0
5500,"I10D","470","Psychiatric problems",0,0,0
5500,"I11","480","THINKING SKILLS ",0,0,0
5500,"I11A","490","Interpersonal skills",0,0,0
5500,"I11B","500","Aggressive/controlling behaviour",0,0,0
5500,"I11C","510","Temper control",0,0,0
5500,"I11D","520","Problem solving skills",0,0,0
5500,"I11E","530","Understanding others' views",0,0,0
5500,"I12","540","ATTITUDES ",0,0,0
5500,"I12A","550","Motivation to address offending (inc attitude to staff/supervision)",0,0,0
5500,"I12B","560","Discriminatory attitudes",0,0,0
5500,"I13","570","SECTION 13",0,0,0
5500,"I13A","580","Make constructive use of time",0,0,0
5500,"I13B","590","Other",0,0,0
5500,"I14","600","No Criminogenic Need",0,0,0
5500,"I2","190","ANALYSIS OF OFFENCES",0,0,0
5500,"I2A","200","Attitude to victim",0,0,0
5500,"I2B","210","Racist attitudes",0,0,0
5500,"I3","220","ACCOMMODATION",0,0,0
5500,"I3A","230","Need for housing/improved housing/more suitable housing",0,0,0
5500,"I4","240","EDUCATION TRAINING AND EMPLOYMENT",0,0,0
5500,"I4A","250","Problems with literacy/numeracy (including learning difficulties)",0,0,0
5500,"I4B","260","Work related skills",0,0,0
5500,"I4C","270","Attitude/motivation",0,0,0
5500,"I5","280","FINANCIAL MANAGEMENT",0,0,0
5500,"I5A","290","Money management",0,0,0
5500,"I6","300","RELATIONSHIPS",0,0,0
5500,"I6A","310","Relationships",0,0,0
5500,"I6B","320","Domestic violence issues",0,0,0
5500,"I6C","330","Experience of childhood",0,0,0
5500,"I7","340","LIFESTYLE & ASSOCIATES",0,0,0
5500,"I7A","350","Community Integration",0,0,0
5500,"I7B","360","Gambling",0,0,0
5500,"I7C","370","Recklessness/risk taking behaviour",0,0,0
5500,"I8","380","DRUG MISUSE",0,0,0
5500,"I8A","390","Drug misuse (including motivation to tackle drug misuse)",0,0,0
5500,"I9","400","ALCOHOL MISUSE",0,0,0
5500,"I9A","410","Violent behaviour related to alcohol (inc drink driving)",0,0,0
5500,"I9B","420","Alcohol misuse (inc motivation to tackle alcohol misuse)",0,0,0
5500,"IH","100","HARM",0,0,0
5500,"IHA","110","Risk to children",0,0,0
5500,"IHB","120","Risk to prisoners",0,0,0
5500,"IHC","130","Risk to staff",0,0,0
5500,"IHD","140","Risk to public",0,0,0
5500,"IHE","150","Self harm issues",0,0,0
5500,"IHF","160","Bullying (as perpetrator)",0,0,0
5500,"IHG","170","Partner abuse",0,0,0
5500,"IHH","180","Escape/abscond risk",0,0,0
